score,Genero,Academia,Vulnerabilidad,Rango_Estres,Sin_Ahorro,Incapacidad_Imprevistos
3,Hombre,No Universitario,Vulnerable No Pobre,Estrés alto,1,0
3,Hombre,No Universitario,Pobreza Alta,Estrés alto,1,0
3,Mujer,No Universitario,Vulnerable No Pobre,Estrés alto,1,0
2,Mujer,No Universitario,Pobreza Alta,Estrés moderado,1,1
1,Mujer,No Universitario,Pobreza Alta,Estrés bajo,1,0
2,Hombre,No Universitario,Pobreza Alta,Estrés moderado,1,0
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
1,Hombre,No Universitario,Vulnerable No Pobre,Estrés bajo,1,0
3,Hombre,No Universitario,Vulnerable No Pobre,Estrés alto,1,0
1,Hombre,No Universitario,Vulnerable No Pobre,Estrés bajo,1,0
3,Mujer,No Universitario,Pobreza Alta,Estrés alto,1,0
1,Mujer,No Universitario,Pobreza Alta,Estrés bajo,1,0
2,Hombre,No Universitario,Pobreza Alta,Estrés moderado,1,0
2,Hombre,No Universitario,Pobreza Alta,Estrés moderado,1,0
3,Mujer,No Universitario,Pobreza Alta,Estrés alto,0,0
1,Mujer,No Universitario,No Vulnerable,Estrés bajo,1,1
3,Hombre,No Universitario,Pobreza Alta,Estrés alto,1,0
1,Mujer,No Universitario,Pobreza Alta,Estrés bajo,1,0
2,Mujer,No Universitario,Pobreza Alta,Estrés moderado,1,0
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,0,0
2,Mujer,No Universitario,Vulnerable No Pobre,Estrés moderado,0,0
1,Hombre,No Universitario,Vulnerable No Pobre,Estrés bajo,0,1
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
3,Hombre,No Universitario,Vulnerable No Pobre,Estrés alto,1,0
3,Mujer,No Universitario,Vulnerable No Pobre,Estrés alto,1,0
2,Hombre,No Universitario,Vulnerable No Pobre,Estrés moderado,1,1
2,Hombre,No Universitario,Pobreza Alta,Estrés moderado,0,0
2,Hombre,No Universitario,Vulnerable No Pobre,Estrés moderado,0,1
2,Mujer,No Universitario,Pobreza Alta,Estrés moderado,1,1
2,Hombre,No Universitario,Pobreza Alta,Estrés moderado,1,0
2,Mujer,No Universitario,Vulnerable No Pobre,Estrés moderado,1,1
1,Hombre,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
1,Hombre,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
2,Hombre,No Universitario,Pobreza Alta,Estrés moderado,1,0
2,Mujer,No Universitario,Vulnerable No Pobre,Estrés moderado,1,1
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
3,Hombre,No Universitario,Vulnerable No Pobre,Estrés alto,1,1
3,Mujer,No Universitario,Vulnerable No Pobre,Estrés alto,1,0
2,Hombre,No Universitario,Vulnerable No Pobre,Estrés moderado,0,0
2,Mujer,No Universitario,Pobreza Alta,Estrés moderado,1,1
3,Hombre,No Universitario,Vulnerable No Pobre,Estrés alto,1,0
3,Hombre,No Universitario,Pobreza Alta,Estrés alto,1,0
2,Hombre,No Universitario,Pobreza Alta,Estrés moderado,1,0
3,Mujer,No Universitario,Pobreza Alta,Estrés alto,1,0
1,Hombre,No Universitario,Pobreza Alta,Estrés bajo,1,0
3,Mujer,No Universitario,Pobreza Alta,Estrés alto,1,0
1,Hombre,No Universitario,Pobreza Alta,Estrés bajo,1,0
2,Mujer,No Universitario,Vulnerable No Pobre,Estrés moderado,0,1
2,Mujer,No Universitario,Pobreza Alta,Estrés moderado,1,0
3,Hombre,No Universitario,Vulnerable No Pobre,Estrés alto,1,0
2,Mujer,Universitario,Vulnerable No Pobre,Estrés moderado,1,1
3,Mujer,Universitario,Vulnerable No Pobre,Estrés alto,1,0
2,Hombre,No Universitario,Pobreza Alta,Estrés moderado,1,0
2,Mujer,No Universitario,Pobreza Alta,Estrés moderado,1,0
1,Hombre,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
3,Mujer,No Universitario,Vulnerable No Pobre,Estrés alto,0,0
2,Hombre,No Universitario,Pobreza Alta,Estrés moderado,1,0
1,Mujer,No Universitario,Pobreza Alta,Estrés bajo,0,0
2,Hombre,No Universitario,Vulnerable No Pobre,Estrés moderado,0,0
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
3,Mujer,No Universitario,Pobreza Alta,Estrés alto,1,0
3,Hombre,No Universitario,Pobreza Alta,Estrés alto,1,0
2,Hombre,No Universitario,Pobreza Alta,Estrés moderado,1,1
3,Mujer,No Universitario,Pobreza Alta,Estrés alto,1,1
1,Mujer,No Universitario,No Vulnerable,Estrés bajo,1,1
2,Hombre,No Universitario,Pobreza Alta,Estrés moderado,1,0
3,Mujer,No Universitario,Vulnerable No Pobre,Estrés alto,1,0
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,0
1,Hombre,No Universitario,Pobreza Alta,Estrés bajo,1,1
3,Mujer,No Universitario,Pobreza Alta,Estrés alto,1,0
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
1,Hombre,No Universitario,Vulnerable No Pobre,Estrés bajo,1,0
1,Hombre,No Universitario,Pobreza Alta,Estrés bajo,0,0
2,Mujer,No Universitario,Pobreza Alta,Estrés moderado,1,0
2,Hombre,No Universitario,Pobreza Alta,Estrés moderado,1,0
2,Mujer,No Universitario,Pobreza Alta,Estrés moderado,0,0
2,Hombre,No Universitario,Vulnerable No Pobre,Estrés moderado,1,1
1,Mujer,No Universitario,No Vulnerable,Estrés bajo,0,0
1,Hombre,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
3,Hombre,No Universitario,Pobreza Alta,Estrés alto,1,0
1,Hombre,No Universitario,No Vulnerable,Estrés bajo,1,1
1,Hombre,No Universitario,Pobreza Alta,Estrés bajo,0,0
2,Hombre,No Universitario,Vulnerable No Pobre,Estrés moderado,1,0
1,Mujer,No Universitario,Pobreza Alta,Estrés bajo,1,0
1,Hombre,No Universitario,Pobreza Alta,Estrés bajo,1,1
3,Hombre,No Universitario,Pobreza Alta,Estrés alto,1,0
3,Hombre,No Universitario,Vulnerable No Pobre,Estrés alto,1,0
3,Hombre,No Universitario,Pobreza Alta,Estrés alto,1,0
1,Hombre,No Universitario,Vulnerable No Pobre,Estrés bajo,1,0
1,Hombre,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
3,Mujer,No Universitario,Pobreza Alta,Estrés alto,1,0
3,Hombre,No Universitario,Pobreza Alta,Estrés alto,1,0
2,Hombre,No Universitario,Pobreza Alta,Estrés moderado,0,1
2,Mujer,No Universitario,Pobreza Alta,Estrés moderado,1,0
1,Hombre,No Universitario,Vulnerable No Pobre,Estrés bajo,1,0
3,Hombre,No Universitario,Pobreza Alta,Estrés alto,1,0
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
3,Hombre,No Universitario,Pobreza Alta,Estrés alto,1,0
3,Hombre,No Universitario,Vulnerable No Pobre,Estrés alto,1,0
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
1,Mujer,No Universitario,No Vulnerable,Estrés bajo,1,0
2,Mujer,No Universitario,Pobreza Alta,Estrés moderado,1,0
3,Hombre,No Universitario,Vulnerable No Pobre,Estrés alto,1,1
2,Mujer,No Universitario,Pobreza Alta,Estrés moderado,1,0
3,Hombre,No Universitario,Pobreza Alta,Estrés alto,1,0
2,Mujer,No Universitario,Pobreza Alta,Estrés moderado,1,1
3,Mujer,No Universitario,Pobreza Alta,Estrés alto,1,1
1,Mujer,No Universitario,No Vulnerable,Estrés bajo,1,1
1,Hombre,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
3,Hombre,No Universitario,No Vulnerable,Estrés alto,0,0
2,Mujer,No Universitario,Pobreza Alta,Estrés moderado,1,0
3,Hombre,No Universitario,Pobreza Alta,Estrés alto,1,0
3,Mujer,No Universitario,Vulnerable No Pobre,Estrés alto,1,1
3,Mujer,No Universitario,Vulnerable No Pobre,Estrés alto,1,1
2,Mujer,No Universitario,Vulnerable No Pobre,Estrés moderado,1,1
1,Hombre,No Universitario,Pobreza Alta,Estrés bajo,1,1
2,Hombre,No Universitario,Pobreza Alta,Estrés moderado,1,0
2,Hombre,No Universitario,Pobreza Alta,Estrés moderado,1,1
3,Mujer,No Universitario,Pobreza Alta,Estrés alto,1,0
2,Mujer,No Universitario,Pobreza Alta,Estrés moderado,1,0
3,Hombre,No Universitario,Vulnerable No Pobre,Estrés alto,1,0
1,Mujer,No Universitario,Pobreza Alta,Estrés bajo,1,1
2,Mujer,No Universitario,Pobreza Alta,Estrés moderado,0,0
3,Hombre,No Universitario,Pobreza Alta,Estrés alto,1,0
2,Hombre,No Universitario,Vulnerable No Pobre,Estrés moderado,1,1
1,Hombre,No Universitario,Pobreza Alta,Estrés bajo,0,1
3,Mujer,No Universitario,Pobreza Alta,Estrés alto,1,0
2,Mujer,No Universitario,Pobreza Alta,Estrés moderado,0,0
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
3,Mujer,No Universitario,Pobreza Alta,Estrés alto,0,0
2,Hombre,No Universitario,Vulnerable No Pobre,Estrés moderado,1,0
3,Mujer,No Universitario,Pobreza Alta,Estrés alto,1,0
1,Hombre,No Universitario,Pobreza Alta,Estrés bajo,0,0
2,Hombre,No Universitario,Pobreza Alta,Estrés moderado,0,0
1,Mujer,No Universitario,No Vulnerable,Estrés bajo,0,0
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
3,Hombre,No Universitario,Vulnerable No Pobre,Estrés alto,0,0
2,Mujer,No Universitario,Pobreza Alta,Estrés moderado,1,0
3,Mujer,No Universitario,No Vulnerable,Estrés alto,0,1
2,Mujer,No Universitario,Vulnerable No Pobre,Estrés moderado,0,0
3,Hombre,No Universitario,Pobreza Alta,Estrés alto,1,0
1,Mujer,No Universitario,Pobreza Alta,Estrés bajo,1,1
2,Hombre,No Universitario,Vulnerable No Pobre,Estrés moderado,1,1
3,Hombre,No Universitario,Pobreza Alta,Estrés alto,1,0
1,Mujer,No Universitario,Pobreza Alta,Estrés bajo,0,0
1,Mujer,No Universitario,Pobreza Alta,Estrés bajo,1,0
3,Hombre,No Universitario,Pobreza Alta,Estrés alto,1,0
1,Hombre,No Universitario,Pobreza Alta,Estrés bajo,1,1
1,Mujer,No Universitario,Pobreza Alta,Estrés bajo,1,0
2,Mujer,No Universitario,Pobreza Alta,Estrés moderado,1,0
2,Hombre,No Universitario,Vulnerable No Pobre,Estrés moderado,1,1
3,Mujer,No Universitario,Pobreza Alta,Estrés alto,1,0
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
1,Hombre,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
1,Hombre,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
2,Hombre,No Universitario,Vulnerable No Pobre,Estrés moderado,1,0
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,0
1,Hombre,No Universitario,Vulnerable No Pobre,Estrés bajo,1,0
1,Mujer,No Universitario,Pobreza Alta,Estrés bajo,1,0
1,Hombre,No Universitario,Pobreza Alta,Estrés bajo,1,0
2,Mujer,No Universitario,Pobreza Alta,Estrés moderado,1,1
3,Mujer,No Universitario,Pobreza Alta,Estrés alto,1,0
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
1,Hombre,No Universitario,Pobreza Alta,Estrés bajo,1,0
2,Mujer,No Universitario,Pobreza Alta,Estrés moderado,1,0
1,Hombre,No Universitario,Vulnerable No Pobre,Estrés bajo,1,0
3,Mujer,No Universitario,Pobreza Alta,Estrés alto,1,0
1,Hombre,No Universitario,Pobreza Alta,Estrés bajo,1,0
1,Mujer,No Universitario,Pobreza Alta,Estrés bajo,1,1
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,0
1,Hombre,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
1,Hombre,No Universitario,Pobreza Alta,Estrés bajo,1,0
1,Hombre,No Universitario,Pobreza Alta,Estrés bajo,1,0
1,Hombre,No Universitario,Vulnerable No Pobre,Estrés bajo,1,0
3,Mujer,No Universitario,Vulnerable No Pobre,Estrés alto,1,0
3,Hombre,No Universitario,Pobreza Alta,Estrés alto,1,0
3,Hombre,No Universitario,Pobreza Alta,Estrés alto,1,0
3,Mujer,No Universitario,Vulnerable No Pobre,Estrés alto,1,1
3,Mujer,No Universitario,Vulnerable No Pobre,Estrés alto,0,0
3,Mujer,No Universitario,Vulnerable No Pobre,Estrés alto,1,0
1,Mujer,No Universitario,Pobreza Alta,Estrés bajo,1,1
2,Mujer,Universitario,Pobreza Alta,Estrés moderado,1,1
1,Mujer,No Universitario,Pobreza Alta,Estrés bajo,0,1
2,Hombre,No Universitario,Pobreza Alta,Estrés moderado,1,0
1,Hombre,No Universitario,Pobreza Alta,Estrés bajo,1,0
3,Hombre,No Universitario,Pobreza Alta,Estrés alto,1,0
3,Hombre,No Universitario,Pobreza Alta,Estrés alto,0,0
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
2,Mujer,No Universitario,Vulnerable No Pobre,Estrés moderado,1,1
3,Mujer,No Universitario,Pobreza Alta,Estrés alto,1,0
1,Hombre,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
1,Hombre,No Universitario,Vulnerable No Pobre,Estrés bajo,1,0
2,Mujer,No Universitario,Vulnerable No Pobre,Estrés moderado,1,1
3,Mujer,No Universitario,Pobreza Alta,Estrés alto,1,0
3,Mujer,No Universitario,Vulnerable No Pobre,Estrés alto,1,1
2,Hombre,No Universitario,Vulnerable No Pobre,Estrés moderado,1,0
2,Mujer,No Universitario,Pobreza Alta,Estrés moderado,1,0
3,Mujer,No Universitario,Vulnerable No Pobre,Estrés alto,1,0
2,Hombre,No Universitario,Pobreza Alta,Estrés moderado,1,0
3,Hombre,No Universitario,Pobreza Alta,Estrés alto,1,0
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,0
1,Mujer,No Universitario,Pobreza Alta,Estrés bajo,1,0
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
2,Mujer,No Universitario,Vulnerable No Pobre,Estrés moderado,0,1
1,Mujer,No Universitario,Pobreza Alta,Estrés bajo,0,0
2,Mujer,No Universitario,Vulnerable No Pobre,Estrés moderado,1,0
1,Mujer,No Universitario,Pobreza Alta,Estrés bajo,1,1
3,Hombre,No Universitario,Pobreza Alta,Estrés alto,1,0
1,Hombre,Universitario,No Vulnerable,Estrés bajo,1,0
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
2,Mujer,No Universitario,Pobreza Alta,Estrés moderado,0,0
1,Mujer,No Universitario,Pobreza Alta,Estrés bajo,1,1
2,Hombre,No Universitario,Pobreza Alta,Estrés moderado,1,0
3,Hombre,No Universitario,Vulnerable No Pobre,Estrés alto,1,0
2,Hombre,Universitario,Pobreza Alta,Estrés moderado,1,0
1,Hombre,Universitario,Pobreza Alta,Estrés bajo,1,1
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,0
3,Hombre,No Universitario,Pobreza Alta,Estrés alto,0,1
2,Mujer,No Universitario,Pobreza Alta,Estrés moderado,1,1
1,Hombre,No Universitario,No Vulnerable,Estrés bajo,0,1
1,Hombre,No Universitario,Pobreza Alta,Estrés bajo,0,1
3,Hombre,No Universitario,Pobreza Alta,Estrés alto,1,1
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
2,Mujer,No Universitario,Pobreza Alta,Estrés moderado,1,0
3,Hombre,No Universitario,Vulnerable No Pobre,Estrés alto,0,0
1,Hombre,No Universitario,Vulnerable No Pobre,Estrés bajo,1,0
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,0
2,Hombre,No Universitario,Pobreza Alta,Estrés moderado,0,0
1,Mujer,No Universitario,No Vulnerable,Estrés bajo,1,0
3,Mujer,No Universitario,Pobreza Alta,Estrés alto,1,0
3,Mujer,No Universitario,Vulnerable No Pobre,Estrés alto,1,1
1,Hombre,No Universitario,No Vulnerable,Estrés bajo,1,1
2,Hombre,No Universitario,Vulnerable No Pobre,Estrés moderado,0,0
3,Hombre,No Universitario,Vulnerable No Pobre,Estrés alto,1,0
3,Mujer,No Universitario,Pobreza Alta,Estrés alto,1,0
1,Mujer,No Universitario,Pobreza Alta,Estrés bajo,0,1
1,Hombre,No Universitario,Pobreza Alta,Estrés bajo,1,0
2,Mujer,No Universitario,Vulnerable No Pobre,Estrés moderado,1,0
3,Hombre,No Universitario,Pobreza Alta,Estrés alto,1,0
1,Hombre,No Universitario,Pobreza Alta,Estrés bajo,1,1
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,0
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
2,Hombre,No Universitario,No Vulnerable,Estrés moderado,1,1
2,Hombre,No Universitario,Pobreza Alta,Estrés moderado,1,0
1,Mujer,No Universitario,Pobreza Alta,Estrés bajo,1,1
3,Mujer,No Universitario,Pobreza Alta,Estrés alto,1,1
3,Mujer,No Universitario,Pobreza Alta,Estrés alto,1,0
2,Mujer,No Universitario,Pobreza Alta,Estrés moderado,0,0
2,Hombre,No Universitario,Vulnerable No Pobre,Estrés moderado,1,0
3,Mujer,No Universitario,Pobreza Alta,Estrés alto,1,0
1,Hombre,No Universitario,Pobreza Alta,Estrés bajo,1,1
2,Mujer,Universitario,Vulnerable No Pobre,Estrés moderado,1,0
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,0
2,Mujer,No Universitario,Vulnerable No Pobre,Estrés moderado,0,0
2,Hombre,No Universitario,Pobreza Alta,Estrés moderado,1,0
2,Mujer,No Universitario,Pobreza Alta,Estrés moderado,1,0
3,Hombre,No Universitario,Pobreza Alta,Estrés alto,1,0
2,Hombre,No Universitario,Vulnerable No Pobre,Estrés moderado,1,0
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
3,Mujer,No Universitario,Vulnerable No Pobre,Estrés alto,1,0
2,Hombre,Universitario,Pobreza Alta,Estrés moderado,1,0
3,Mujer,No Universitario,Pobreza Alta,Estrés alto,1,1
3,Mujer,No Universitario,Pobreza Alta,Estrés alto,1,1
1,Mujer,No Universitario,Pobreza Alta,Estrés bajo,1,1
3,Mujer,No Universitario,No Vulnerable,Estrés alto,1,0
2,Mujer,No Universitario,Vulnerable No Pobre,Estrés moderado,1,1
2,Mujer,No Universitario,Pobreza Alta,Estrés moderado,0,1
2,Hombre,No Universitario,Vulnerable No Pobre,Estrés moderado,1,0
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,0
1,Mujer,No Universitario,Pobreza Alta,Estrés bajo,1,0
1,Mujer,No Universitario,Pobreza Alta,Estrés bajo,1,0
1,Hombre,No Universitario,Pobreza Alta,Estrés bajo,1,1
1,Hombre,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
2,Hombre,No Universitario,Pobreza Alta,Estrés moderado,1,1
2,Mujer,No Universitario,Vulnerable No Pobre,Estrés moderado,0,0
1,Mujer,No Universitario,No Vulnerable,Estrés bajo,1,1
1,Mujer,No Universitario,Pobreza Alta,Estrés bajo,0,1
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
1,Hombre,No Universitario,Pobreza Alta,Estrés bajo,1,1
1,Mujer,No Universitario,Pobreza Alta,Estrés bajo,1,0
1,Hombre,No Universitario,Pobreza Alta,Estrés bajo,1,0
1,Hombre,No Universitario,Pobreza Alta,Estrés bajo,1,0
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,0
1,Mujer,No Universitario,Pobreza Alta,Estrés bajo,0,0
1,Mujer,No Universitario,No Vulnerable,Estrés bajo,1,0
1,Mujer,No Universitario,Pobreza Alta,Estrés bajo,0,0
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,0
3,Mujer,No Universitario,Vulnerable No Pobre,Estrés alto,1,0
3,Hombre,No Universitario,Pobreza Alta,Estrés alto,1,1
2,Hombre,Universitario,Pobreza Alta,Estrés moderado,1,1
2,Mujer,No Universitario,Pobreza Alta,Estrés moderado,1,0
2,Mujer,No Universitario,Vulnerable No Pobre,Estrés moderado,1,0
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,0
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,0
2,Mujer,No Universitario,Vulnerable No Pobre,Estrés moderado,1,1
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
1,Hombre,No Universitario,Vulnerable No Pobre,Estrés bajo,1,0
2,Mujer,No Universitario,Pobreza Alta,Estrés moderado,1,1
2,Mujer,No Universitario,Vulnerable No Pobre,Estrés moderado,1,0
3,Hombre,No Universitario,Pobreza Alta,Estrés alto,1,0
1,Hombre,No Universitario,Vulnerable No Pobre,Estrés bajo,1,0
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
1,Hombre,Universitario,Pobreza Alta,Estrés bajo,1,0
1,Mujer,No Universitario,No Vulnerable,Estrés bajo,1,0
1,Mujer,No Universitario,Pobreza Alta,Estrés bajo,1,0
3,Mujer,No Universitario,Pobreza Alta,Estrés alto,0,0
3,Hombre,No Universitario,Vulnerable No Pobre,Estrés alto,1,0
3,Mujer,No Universitario,Vulnerable No Pobre,Estrés alto,1,0
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
3,Hombre,No Universitario,Pobreza Alta,Estrés alto,1,0
3,Mujer,No Universitario,Vulnerable No Pobre,Estrés alto,1,0
2,Mujer,No Universitario,Pobreza Alta,Estrés moderado,1,0
2,Mujer,No Universitario,Pobreza Alta,Estrés moderado,1,0
3,Mujer,No Universitario,Vulnerable No Pobre,Estrés alto,1,0
1,Hombre,No Universitario,Pobreza Alta,Estrés bajo,0,0
1,Mujer,No Universitario,Pobreza Alta,Estrés bajo,1,0
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
1,Mujer,No Universitario,Vulnerable No Pobre,Estrés bajo,1,1
1,Mujer,No Universitario,No Vulnerable,Estrés bajo,1,1
2,Mujer,No Universitario,Vulnerable No Pobre,Estrés moderado,1,1
2,Mujer,No Universitario,Pobreza Alta,Estrés moderado,1,1
3,Mujer,No Universitario,Vulnerable No Pobre,Estrés alto,1,0
3,Mujer,No Universitario,No Vulnerable,Estrés alto,1,0
1,Mujer,No Universitario,Pobreza Alta,Estrés bajo,1,1
1,Mujer,No Universitario,No Vulnerable,Estrés bajo,0,0
2,Mujer,No Universitario,Pobreza Alta,Estrés moderado,1,0
3,Mujer,No Universitario,Vulnerable No Pobre,Estrés alto,1,1
1,Mujer,No Universitario,No Vulnerable,Estrés bajo,1,0
3,Mujer,No Universitario,Vulnerable No Pobre,Estrés alto,1,0
2,Hombre,No Universitario,Vulnerable No Pobre,Estrés moderado,0,1
3,Hombre,No Universitario,Vulnerable No Pobre,Estrés alto,0,0
2,Mujer,No Universitario,No Vulnerable,Estrés moderado,1,1
3,Hombre,No Universitario,No Vulnerable,Estrés alto,1,0
3,Hombre,No Universitario,Vulnerable No Pobre,Estrés alto,0,0
3,Hombre,No Universitario,Vulnerable No Pobre,Estrés alto,1,0
1,Hombre,No Universitario,Pobreza Alta,Estrés bajo,1,0
3,Mujer,No Universitario,Vulnerable No Pobre,Estrés alto,0,1
3,Mujer,No Universitario,Pobreza Alta,Estrés alto,1,0
3,Hombre,No Universitario,Vulnerable No Pobre,Estrés alto,1,0
3,Mujer,No Universitario,Pobreza Alta,Estrés alto,1,0
2,Hombre,No Universitario,Pobreza Alta,Estrés moderado,1,0
